                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2963,                 2.3319,                  2.084,                  1.084,                0.51547,                0.32364,                0.32339,                0.20228,                0.49351,                0.31514,                0.30829,                0.16941,                 1.1426,                 1.9565,                 1.8184,                 1.0051,             0.00041281,             0.00041281,             0.00041281
                      2,                 1.2347,                 2.1537,                 1.4067,                  1.065,                0.59991,                0.54881,                0.52468,                0.32555,                0.56634,                0.52569,                0.51358,                0.27284,                 1.1915,                 2.0276,                 1.1684,                 1.0406,             0.00080895,             0.00080895,             0.00080895
                      3,                 1.2263,                 2.1235,                 1.2648,                 1.0672,                0.73761,                  0.534,                0.58705,                0.35998,                0.73147,                0.50759,                0.56367,                0.29952,                 1.1668,                 2.0545,                 1.0573,                 1.0403,              0.0011845,              0.0011845,              0.0011845
                      4,                 1.1999,                 2.0763,                 1.1692,                 1.0595,                0.79616,                0.56745,                0.63046,                0.39204,                0.80561,                0.55519,                0.64152,                0.35579,                 1.1095,                 1.8679,                0.92587,                 1.0079,              0.0011572,              0.0011572,              0.0011572
                      5,                 1.1495,                 2.0093,                 1.0866,                 1.0372,                 0.8094,                0.58964,                0.67467,                0.42392,                0.69834,                0.63326,                0.67676,                0.37683,                  1.109,                 1.8438,                0.86427,                 1.0144,              0.0011263,              0.0011263,              0.0011263
                      6,                 1.1345,                 2.0179,                 1.0292,                 1.0297,                0.78129,                0.56401,                0.62781,                0.40687,                0.74203,                0.53738,                0.58991,                0.30279,                 1.0909,                  2.092,                0.89003,                0.99906,              0.0010953,              0.0010953,              0.0010953
                      7,                 1.0995,                 1.9517,                0.98469,                 1.0294,                0.80917,                0.61881,                0.68571,                0.44819,                0.87995,                0.56046,                0.67605,                0.38029,                  1.008,                 1.7974,                0.80863,                0.98392,              0.0010644,              0.0010644,              0.0010644
                      8,                 1.0874,                 1.9112,                0.95282,                   1.01,                0.80934,                0.64976,                0.71728,                0.47924,                0.79414,                0.62837,                0.70502,                0.39501,                 1.0278,                 1.7668,                0.80262,                0.98822,              0.0010334,              0.0010334,              0.0010334
                      9,                 1.0744,                 1.8789,                0.92654,                 1.0177,                0.76112,                0.65455,                0.69417,                0.45461,                0.74072,                0.60282,                0.66323,                0.37551,                 1.0234,                 1.7122,                0.76152,                0.98507,              0.0010025,              0.0010025,              0.0010025
                     10,                 1.0665,                 1.8872,                0.90261,                 1.0124,                0.83436,                0.62609,                 0.7045,                0.48117,                0.83285,                0.60917,                0.69372,                0.39776,                 0.9802,                 1.7528,                0.75987,                0.96514,             0.00097156,             0.00097156,             0.00097156
                     11,                 1.0509,                 1.8676,                0.87807,                 1.0039,                0.81797,                0.68878,                0.75025,                0.50711,                0.80314,                0.66914,                0.73928,                0.40942,                0.98603,                 1.7434,                0.73261,                 0.9731,             0.00094062,             0.00094062,             0.00094062
                     12,                 1.0411,                 1.8332,                0.85001,                0.98921,                0.83238,                0.64091,                0.71787,                0.48394,                 0.7709,                0.71013,                0.75841,                0.43071,                 1.0238,                 1.7004,                0.73065,                0.96593,             0.00090969,             0.00090969,             0.00090969
                     13,                 1.0132,                 1.8132,                0.82065,                 0.9909,                0.85682,                0.66309,                0.73939,                0.48595,                 0.8166,                0.64441,                0.71974,                0.38578,                0.97904,                 1.7196,                0.70974,                0.96629,             0.00087875,             0.00087875,             0.00087875
                     14,                 1.0164,                 1.8115,                0.81886,                0.98445,                 0.7996,                0.69944,                 0.7332,                0.49934,                0.79147,                0.67151,                0.73522,                 0.3983,                0.98159,                 1.7141,                0.73052,                0.96042,             0.00084781,             0.00084781,             0.00084781
                     15,                0.99812,                 1.7521,                0.79689,                0.97617,                 0.8294,                0.70537,                0.74764,                0.50792,                0.82843,                 0.6975,                0.76237,                0.44308,                0.99467,                 1.6663,                0.69584,                0.96105,             0.00081688,             0.00081688,             0.00081688
                     16,                0.98027,                 1.7364,                0.76623,                0.97088,                 0.8265,                0.69767,                0.75833,                   0.51,                0.80535,                0.68021,                0.73776,                0.40701,                0.93301,                 1.7054,                0.67544,                0.95318,             0.00078594,             0.00078594,             0.00078594
                     17,                0.96654,                 1.6872,                  0.755,                0.96769,                0.87062,                0.72475,                0.77014,                0.53017,                0.85265,                0.70932,                0.76245,                0.42862,                 0.9138,                 1.6014,                0.65317,                0.94371,               0.000755,               0.000755,               0.000755
                     18,                0.97457,                 1.7241,                0.74972,                 0.9637,                 0.8821,                 0.7116,                0.77581,                 0.5214,                0.83456,                0.69898,                0.75519,                0.43609,                0.92188,                 1.6124,                 0.6437,                0.94148,             0.00072406,             0.00072406,             0.00072406
                     19,                0.95661,                 1.6949,                0.74622,                0.96794,                0.85196,                0.69643,                0.76925,                0.52725,                0.82002,                0.67217,                0.74414,                0.41567,                0.92474,                 1.6313,                0.64426,                0.93961,             0.00069313,             0.00069313,             0.00069313
